SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T SCAFFOLDS	TELOMERE FWD	TELOMERE REV	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Mapped_reads	Average_Coverage
JB_031837-Hc_031837	15011	27508086	496	45419	1148	1832.53	2923	2739	10480	758	47.23	2	60	48	70.6	70.5	0.1	13.4	16	3546	770773	8.4
JB_031842-Hc_031842	10463	7524283	500	4449	646	719.13	4023	704	9001	531	51.12	0	19	18	9.4	9.4	0	12.9	77.7	3546	104707	4.2
JB_042247-Hc_042247	13601	24167419	500	13911	1388	1776.89	3391	2294	9998	869	48.71	0	36	35	68	67.9	0.1	13.8	18.2	3546	612698	7.6
JB_042430-Hc_042430	4426	26691293	500	47578	3953	6030.57	763	10947	2477	3193	46.87	0	16	21	95.7	95.6	0.1	1.2	3.1	3546	1194608	13.4
JB_042447-Hc_042447	20252	24125140	499	11382	944	1191.25	5670	1365	16014	644	46.37	2	57	62	43.9	43.8	0.1	19.5	36.6	3546	558468	6.9
JB_062632-Hc_062632	13657	25946185	500	16418	1400	1899.85	3112	2560	9789	884	46.39	0	44	54	65.4	65.3	0.1	14.6	20	3546	685638	7.9
JB_062715-Hc_062715	1	8044	8044	8044	8044	8044	1	8044	1	8044	53.98	0	0	0	0	0	0	0	100	3546	14938	557.1
JB_062747-Hc_062747	509	302876	500	8094	549	595.04	221	559	449	509	49.11	0	0	0	0	0	0	0.2	99.8	3546	48574	48.1
JB_062770-Hc_062770	1	8350	8350	8350	8350	8350	1	8350	1	8350	54.04	0	0	0	0	0	0	0	100	3546	21500	772.5
JB_062774-Hc_062774	19680	24375404	500	15679	977	1238.59	5414	1428	15477	664	45.05	0	56	52	38.2	38.2	0	21.2	40.6	3546	532518	6.6
JB_062775_2-Hc_062775_2	4714	3200693	499	8022	613	678.98	1876	653	4088	523	48.06	1	10	9	1.7	1.7	0	4.7	93.6	3546	47617	4.5
JB_062775-Hc_062775	7035	25015646	500	35751	2572	3555.88	1447	5474	4505	1763	47.48	0	31	29	92.4	92.4	0	3.5	4.1	3546	1169825	14
JB_073061-Hc_073061	25480	24293532	500	10595	807	953.44	8242	1004	20994	586	45.36	1	84	75	26	25.9	0.1	22.1	51.9	3546	781251	9.6
JB_073062-Hc_073062	2	8850	702	8148	8148	4425	1	8148	1	8148	52.41	0	0	0	0	0	0	0	100	3546	15287	518.2
JB_073067-Hc_073067	9354	13189328	500	11544	1034	1410.02	2300	1748	7113	694	47.62	0	30	26	30.2	30.1	0.1	11.5	58.3	3546	734457	16.7
JB_073069_2-Hc_073069_2	91	67098	500	8714	552	737.34	29	584	78	517	47.51	0	0	0	0	0	0	0	100	3546	33869	151.4
JB_073069-Hc_073069	13570	10575007	500	15636	682	779.29	4912	769	11535	541	45.41	0	37	53	6	6	0	10.7	83.3	3546	264448	7.5
JB_073092-Hc_073092	13494	14085333	500	8272	863	1043.82	4134	1137	10955	610	49.16	1	39	35	30.2	30.2	0	14.7	55.1	3546	462113	9.8
JB_073093-Hc_073093	2	8753	592	8161	8161	4376.5	1	8161	1	8161	52.34	0	0	0	0	0	0	0	100	3546	11860	406.5
JB_073094-Hc_073094	5	31206	560	10252	6238	6241.2	2	8050	4	6106	47.91	0	0	0	0	0	0	0	100	3546	51729	497.3
JB_073104_2-Hc_073104_2	20980	21838986	500	6077	876	1040.94	6540	1122	17062	615	44.16	0	50	69	19.9	19.9	0	19.1	61	3546	433700	6
JB_073104-Hc_073104	5626	3808483	500	7909	618	676.94	2263	657	4881	524	46.95	0	18	18	1.2	1.2	0	4.2	94.6	3546	80812	6.4
JB_073105-Hc_073105	15294	12887150	500	7483	730	842.63	5311	855	12852	557	45.22	0	39	49	8.9	8.9	0	13.6	77.5	3546	204222	4.8
JB_073107-Hc_073107	18235	20172266	496	10192	911	1106.24	5426	1230	14639	628	47.31	0	52	59	33.8	33.7	0.1	20.2	46	3546	403861	6
JB_073124-Hc_073124	12505	27706883	500	19369	1549	2215.66	2660	3174	8682	1003	45.67	0	39	35	72	71.9	0.1	13	15	3546	733062	7.9
JB_073129-Hc_073129	11540	23705142	500	18196	1447	2054.17	2493	2890	8135	929	48.17	0	22	25	68.5	68.3	0.2	12.2	19.3	3546	727985	9.2
JB_083285_2-Hc_083285_2	8363	27324225	500	35750	2040	3267.28	1504	5506	5182	1413	46.23	0	27	24	85.7	85.6	0.1	6.7	7.6	3546	864792	9.5
JB_083285-Hc_083285	18401	18345961	500	21014	813	997.01	5611	1055	15027	592	46.06	1	58	66	20.7	20.7	0	18.8	60.5	3546	386101	6.3
JB_083376-Hc_083376	3	20121	512	11660	7949	6707	1	11660	2	7949	50.89	0	0	0	0	0	0	0	100	3546	55060	820.9
JB_083379-Hc_083379	2	17881	8230	9651	9651	8940.5	1	9651	2	8230	51.13	0	0	0	0	0	0	0	100	3546	39498	662.7
JB_083466-Hc_083466	3	12598	1504	7621	3473	4199.33	1	7621	3	1504	43.9	0	0	0	0	0	0	0	100	3546	7217	171.9
JB_083470-Hc_083470	2	13134	5185	7949	7949	6567	1	7949	2	5185	50.79	0	0	0	0	0	0	0	100	3546	56589	1292.6
JB_093494-Hc_093494	3	12488	1183	7685	3620	4162.67	1	7685	2	3620	46.84	0	0	0	0	0	0	0	100	3546	18144	435.9
JB_093543-Hc_093543	4	14430	1443	7949	3567	3607.5	1	7949	3	1471	50.11	0	0	0	0	0	0	0	100	3546	40526	842.5
JB_093635-Hc_093635	8965	12802717	500	11842	1066	1428.08	2262	1726	6868	723	49.19	0	33	24	33	33	0	12.1	54.9	3546	786883	18.4
JB_103664-Hc_103664	12899	9995415	500	4652	685	774.9	4718	771	10976	542	48.17	0	32	39	9	8.9	0.1	12.5	78.5	3546	179416	5.4
JB_1139-Hc_1139	1	8140	8140	8140	8140	8140	1	8140	1	8140	54.41	0	0	0	0	0	0	0	100	3546	9207	339.3
JB_124224-Hc_124224	15847	13212520	500	6171	728	833.76	5578	841	13345	558	47.06	0	43	66	13.6	13.6	0	14.9	71.5	3546	206506	4.7
JB_175703-Hc_175703	18130	18466579	500	7829	854	1018.56	5683	1104	14763	604	46.96	0	55	68	26.1	26.1	0	19.2	54.7	3546	327134	5.3
SECH_100-Nam2_G186A	910	15523090	500	139390	11875	17058.34	178	28399	536	9098	42.69	0	5	7	45.3	45.1	0.2	0.4	54.3	3546	12085349	97.3
SECH_101-Nam2_G184A	1826	23047687	504	82765	8592	12621.95	337	21861	1066	6545	44.08	0	11	11	72.3	72.2	0.1	0.8	26.9	3546	13541454	73.4
SECH_102-Nam2_505	18851	25902344	500	9905	1076	1374.06	4998	1640	14531	710	46.25	1	56	54	50.7	50.6	0.1	20.2	29.1	3546	20616306	99.5
SECH_103-Nam2_3_11G	1054	22365324	500	139978	15412	21219.47	198	36114	606	11362	40.42	0	5	7	62.1	62	0.1	0.4	37.5	3546	18046265	100.9
SECH_104-Nam2_27_14	1093	22134337	505	141233	12489	20250.99	190	37461	606	10499	42.55	0	10	10	61.1	61	0.1	0.5	38.4	3546	20586305	116.3
SECH_105-Nam2_21_14	1747	27911440	502	137632	10194	15976.78	308	28073	997	8252	42.26	0	7	4	78.6	78.5	0.1	0.6	20.8	3546	22321959	100
SECH_106-Hc_duboisii-A	1741	18920862	501	113246	5647	10867.81	240	22840	960	5075	39.38	0	11	0	38.3	38.2	0.1	0.3	61.4	3546	14909325	98.5
SECH_107-mis_Hc_duboisii-B	2040	22796384	501	85737	6116	11174.7	312	22195	1156	5241	40.56	0	9	3	51.1	51	0.1	0.7	48.2	3546	16759283	91.9
SECH_108	784	10762945	501	106443	7597	13728.25	117	30986	375	8549	40.87	0	7	5	26.1	26	0.1	0.2	73.7	3546	2797076	32.5
SECH_109	2828	23941220	486	90569	4367	8465.78	413	17885	1443	4221	45.84	0	8	18	78.5	78.4	0.1	0.5	21	3546	7352914	38.4
SECH_110	3430	22122765	500	85933	1795	6449.79	335	20494	1434	2504	45.24	0	6	5	70.8	70.8	0	0.6	28.6	3546	7887767	44.6
SECH_81-Nam1_WU24	3065	25299240	500	88170	4649	8254.24	476	16400	1629	4197	45.93	0	13	19	83.2	83.1	0.1	0.9	15.9	3546	21247111	105
SECH_82-Nam1_CI_4	5794	30504849	500	54892	2915	5264.9	892	9837	3383	2279	44.73	0	12	15	92.2	92	0.2	1.8	6	3546	19858397	81.4
SECH_83-Nam1_CI_7	3172	25548664	419	62256	4707	8054.43	503	15969	1721	4066	45.96	0	14	12	84.2	84.1	0.1	0.9	14.9	3546	21897725	107.1
SECH_84-Nam1_CI_19	3411	26273428	274	84995	4546	7702.56	540	14731	1868	3861	45.97	0	11	13	87.2	87.1	0.1	1.2	11.6	3546	24520364	116.7
SECH_85-Nam1_CI_22	2414	22986789	500	86314	5214	9522.28	365	19788	1247	4904	45.86	0	8	16	75.6	75.5	0.1	0.5	23.9	3546	22964394	124.9
SECH_86-Nam1_CI_24	2483	23642194	483	116940	5104	9521.62	367	19524	1277	4827	45.91	0	15	9	78.1	77.8	0.3	0.6	21.3	3546	28397769	150.1
SECH_87-Nam1_CI_42	3311	26104414	486	67912	4724	7884.15	527	14965	1810	3982	45.97	0	15	11	86.6	86.5	0.1	1	12.4	3546	25360637	121.4
SECH_88-Nam1_CI_43	2809	24728358	500	95775	4959	8803.26	433	17246	1497	4402	45.95	0	12	13	81.3	81.2	0.1	0.6	18.1	3546	28456540	143.8
SECH_89-Nam1_UCLA-531	2603	24242909	500	88930	5136	9313.45	407	18526	1391	4590	45.89	0	14	11	79.4	79.3	0.1	0.9	19.7	3546	27744575	143.1
SECH_90-Nam1_DOWNS	2599	23877588	500	76940	4654	9187.22	378	19425	1317	4561	45.91	0	9	14	78	77.8	0.2	0.6	21.4	3546	18867082	98.8
SECH_91-Nam2_G217B	4455	29536869	500	67837	3845	6630.05	680	12534	2557	3003	44.57	0	11	9	87.6	87.5	0.1	1.4	11	3546	27595667	116.8
SECH_92-Nam2_G222B	4350	29369811	500	84073	3909	6751.68	670	12711	2489	3096	44.36	0	5	11	85.6	85.5	0.1	1	13.4	3546	24375182	103.7
SECH_93-Nam2_CI_6	2933	23490257	500	85490	3482	8008.95	359	19534	1428	3674	45.06	0	9	10	73.5	73.5	0	0.8	25.7	3546	21119791	112.4
SECH_94-Nam2_CI_9	2557	20117106	500	91988	2395	7867.46	263	24133	1072	3551	45.02	0	13	3	63.1	63	0.1	0.4	36.5	3546	16601527	103.2
SECH_95-Nam2_CI_10	3359	25330614	500	82337	3455	7541.12	424	17385	1717	3345	44.72	0	10	9	76.2	76.1	0.1	0.9	22.9	3546	19366784	95.6
SECH_96-Nam2_CI_17	3281	25723378	503	111831	3438	7840.1	404	18870	1674	3294	44.68	0	8	13	78.4	78.3	0.1	0.7	20.9	3546	18524736	90
SECH_97-Nam2_CI_18	3993	28021088	500	83507	3616	7017.55	563	14922	2186	3068	44.82	0	11	12	85.2	85.1	0.1	1.1	13.7	3546	21862667	97.5
SECH_98-Nam2_CI_30	3185	24080682	500	83737	2928	7560.65	392	18914	1493	3424	45.34	0	10	10	77.7	77.6	0.1	0.9	21.4	3546	19184060	99.6
SECH_99-Nam2_CI_35	5275	29248709	500	76428	2895	5544.78	755	11231	2945	2379	45.13	0	18	15	92.1	91.9	0.2	2	5.9	3546	16087672	68.8
CDD_18-18																						
CDD_11-18																						
CDD_10-18																						
HCWU24	3919	28071263	500	73716	4262	7162.86	624	13460	2130	3644	45.97	0	7	15	89.3	89.2	0.1	1	9.7	3546	2548418	27.2
HCH88	411	8071483	500	131626	10786	19638.64	68	41995	195	13094	38.74	0	5	4	13.9	13.9	0	0.1	86	3546	7863390	120.1
HCH143	7701	28695375	500	52605	1056	3726.19	808	10583	3585	1255	44.59	1	17	22	88.5	88.4	0.1	3	8.5	3546	1601588	16.7
HCG217B	5658	33872679	500	78541	3164	5986.69	811	11845	3137	2686	42.96	0	12	15	85	84.9	0.1	1	14	3546	1755134	15.5
HCG186A	1854	18389103	500	102827	4000	9918.61	253	24613	786	6276	46.45	0	6	6	64.4	64.3	0.1	0.4	35.2	3546	1823465	29.7
HCCI_6	6852	28445673	500	82628	1138	4151.44	691	11785	3058	1557	45.2	0	15	16	88.8	88.7	0.1	1.3	9.9	3546	1737470	18.3
HCCI_43	3988	27852648	422	61920	3885	6984.11	602	13755	2102	3511	46.03	0	9	11	89.5	89.4	0.1	0.9	9.6	3546	2863736	30.8
HCCI_19	4010	27563514	500	89090	4008	6873.69	622	13359	2150	3535	46.01	0	14	20	88.3	88.2	0.1	1	10.7	3546	2260253	24.6
HCCI_17	5642	34006939	500	68701	2919	6027.46	753	12626	2962	2655	43.24	0	12	14	88	87.9	0.1	0.8	11.2	3546	2371652	20.9
HC27_14	3226	24079591	500	105096	1256	7464.23	270	27669	1057	4040	45.06	0	6	21	78.8	78.7	0.1	0.2	21	3546	2336909	29.1
HC21_14	2752	28461965	500	160317	5211	10342.28	382	22079	1442	4847	42.13	0	10	8	79.6	79.5	0.1	0.5	19.9	3546	1758061	18.5
NACVFR_Histo_HCR	462	10471133	503	125746	14448	22664.79	71	43417	244	13151	39.82	0	3	6	23	23	0	0.1	76.9	3546	13891097	167.2
NACVFR_Histo_HCM	1630	15666614	500	200119	2762	9611.42	130	34216	629	4861	40.43	0	4	6	38.4	38.4	0	0.3	61.3	3546	21717326	174.7
NACVFR_Histo_hcjb	748	12754170	501	192456	7727	17051.03	97	38967	341	9109	40.1	0	0	2	31.2	31.2	0	0.1	68.7	3546	36386567	359.5
NACVFR_Histo_HC970591	441	11662984	506	192158	18542	26446.68	82	46038	247	15252	38.81	0	1	1	24.5	24.4	0.1	0.1	75.4	3546	19290017	208.4
NACVFR_Histo_HC970588	876	8214153	500	113425	2705	9376.89	79	32546	365	4073	38.98	0	1	2	16.8	16.7	0.1	0	83.2	3546	5588545	85.7
NACVFR_Histo_HC776	483	10564466	503	211057	12113	21872.6	75	44635	237	12472	38.26	0	0	2	21.6	21.5	0.1	0.2	78.2	3546	17124613	204.2
NACVFR_Histo_HC4137	455	8970569	500	134984	9475	19715.54	59	46690	210	10940	36.57	0	2	1	15.3	15.2	0.1	0	84.7	3546	8946060	125.7
NACVFR_Histo_HC394	444	7904107	501	148594	8554	17802.04	63	39133	219	8874	35.39	0	0	2	10.9	10.9	0	0.1	89	3546	7327753	116.8
NACVFR_Histo_hc3645	424	9337574	505	122781	12634	22022.58	67	46324	216	12053	40.09	0	5	1	21.7	21.6	0.1	0.1	78.2	3546	10695989	144.3
NACVFR_Histo_HC3066	718	10126387	501	170622	4770	14103.6	65	42474	294	6519	37.36	0	3	2	18.9	18.9	0	0.1	81	3546	9017734	112.2
NACVFR_Histo_HC1070058_2	2311	22694737	500	131299	3000	9820.31	230	29866	935	4763	43.91	0	11	10	68.9	68.8	0.1	0.2	30.9	3546	4703167	26.1
HISSP-SVER2054	639	9755294	506	314667	4060	15266.5	57	47060	236	7839	48.54	0	3	1	19	18.8	0.2	0.3	80.7	3546	4176118	64.2
HISSP-STAN2075	245	5567377	504	168339	13165	22723.99	39	46232	117	14728	37.36	0	1	1	10.7	10.7	0	0.1	89.2	3546	5953499	134.7
HISSP-SROB2039	516	8248184	500	121217	6603	15984.85	68	37837	220	10137	37.68	0	5	1	14.7	14.6	0.1	0	85.3	3546	7863390	120.1
HISSP-SPA2057	1271	11004018	500	146293	1878	8657.76	98	26797	448	4876	38.17	0	4	2	20	20	0	0.1	79.9	3546	5961862	68.3
HISSP-SMIS2065	829	10786303	500	186193	4640	13011.22	80	35907	338	6760	38.31	0	3	3	19.1	19	0.1	0.1	80.8	3546	5880556	68.7
HISSP-SMAC2055	240	11285980	501	392893	16243	47024.92	28	124914	94	35498	49.51	0	3	9	26.4	26.1	0.3	0.2	73.4	3546	2289075	30.4
HISSP-SDOR2042	420	12719696	513	166641	22065	30284.99	81	48513	236	17347	42.19	1	9	4	37.4	37.3	0.1	0.3	62.3	3546	5246857	61.9
HISSP-SDIJ2058	3104	19870065	500	1326156	732	6401.44	35	70384	643	2431	42.9	1	5	13	35.1	32.5	2.6	0.1	64.8	3546	6191623	39.3
HISSP-SASAAZP1	973	12795317	501	143370	5468	13150.38	105	32592	413	7734	38.89	0	5	4	26	25.9	0.1	0.1	73.9	3546	13974196	137.6
HISSP-SASA2073	1055	11626078	500	129578	3355	11019.98	92	31644	410	6475	38.09	0	2	4	21.1	21	0.1	0.1	78.8	3546	6736384	73
HISSP-SADA2068	1034	13755907	502	212610	4102	13303.59	100	41394	390	7466	39.31	0	7	2	30	29.9	0.1	0.3	69.7	3546	10041355	92
HISSP-HCAM	1325	12987198	502	184947	3533	9801.66	117	31139	561	4889	39.32	0	4	6	30	30	0	0.2	69.8	3546	8399261	81.5
HISSP-HC7090-S10	366	7018261	502	245091	7189	19175.58	46	46790	155	10927	34.52	0	0	0	9.3	9.2	0.1	0	90.7	3546	5208190	93.5
HISSP-HC7072a	454	7471946	500	151014	7082	16458.03	57	39079	203	10261	36.02	0	0	2	12	12	0	0	88	3546	6487903	109.4
HISSP-GJJ	307	9268648	517	164821	16935	30191.04	51	60014	159	15799	38.79	0	3	5	18.3	18.2	0.1	0.2	81.5	3546	4745168	76.8
HISSP-FGZUL2036	579	16504591	507	156275	22175	28505.34	115	47929	327	16458	40.35	0	7	7	37.5	37.5	0	0.3	62.2	3546	7497082	68.1
HISSP-FGZAA2004	773	11124729	500	153920	5624	14391.63	83	39783	317	8334	37.25	0	4	3	20.6	20.6	0	0.1	79.3	3546	8555719	96.9
HISSP-FGWIL2021	361	5722192	500	158771	4497	15850.95	45	46355	134	11914	35.72	0	4	0	9	9	0	0	91	3546	6583998	145
HISSP-FGVER2032	913	10810103	500	153008	4797	11840.2	91	30983	389	6512	37.55	0	7	1	18.9	18.8	0.1	0.1	81	3546	6640902	77.4
HISSP-FGTRO0285	542	22088586	501	348259	21927	40753.85	78	90264	250	25882	49.64	0	12	6	54.7	54.3	0.4	0.3	45	3546	4253989	28.9
HISSP-FGTON2042																						
HISSP-FGSOU2029	112	4177055	501	510863	5487	37295.13	9	131661	32	25554	46.19	0	2	7	6.1	6.1	0	0.2	93.7	3546	2304567	82.8
HISSP-FGSOU0318	1724	18725004	500	137587	4179	10861.37	167	31270	736	5715	41.39	0	3	2	47.2	47	0.2	0.3	52.5	3546	14061433	94.6
HISSP-FGSAT2037	277	6503487	502	116707	13303	23478.29	46	44950	135	14468	37.73	0	3	4	11.5	11.4	0.1	0	88.5	3546	5035444	97.6
HISSP-FGROD2046	759	9961097	500	132743	5590	13123.97	92	31455	325	8896	37.06	0	8	5	16	16	0	0.1	83.9	3546	6986126	88.4
HISSP-FGPSO2043	480	19677294	501	306259	21414	40994.36	69	91718	216	29297	49.73	0	9	11	50.5	50.1	0.4	0.4	49.1	3546	4246944	32.4
HISSP-FGPOE2043	863	12042790	501	209051	5914	13954.57	99	36617	387	7740	38.95	0	3	4	24.4	24.4	0	0.1	75.5	3546	9716660	101.7
HISSP-FGPIR2086	410	12811561	508	188875	21376	31247.71	71	54550	218	19338	39.57	0	3	4	28.5	28.5	0	0.1	71.4	3546	5343504	62.6
HISSP-FGPIN2043	564	10592188	505	152109	9030	18780.48	78	41028	263	10475	38.52	0	4	1	21.3	21.2	0.1	0.1	78.6	3546	9482923	112.8
HISSP-FGPIE2055	2250	28918902	503	138374	7372	12852.85	355	24582	1225	6341	43.17	0	6	17	83.6	83.6	0	1.3	15.1	3546	3439668	17.8
HISSP-FGPIC2055	1062	16308371	500	173490	7190	15356.28	135	34816	516	7423	39.68	0	5	11	37.5	37.5	0	0.2	62.3	3546	5019025	46.2
HISSP-FGPIA2052	850	20788897	510	193818	16816	24457.53	156	43026	482	12899	41.97	0	4	8	56	55.9	0.1	0.5	43.5	3546	11796377	85.1
HISSP-FGPERS2034	1301	24259670	503	161494	11929	18646.94	227	32298	719	10017	43.11	0	6	6	74.6	74.5	0.1	0.6	24.8	3546	4306405	26.6
HISSP-FGNOR2087	1236	12829367	500	385948	643	10379.75	33	105150	127	16183	48.72	0	10	8	24.8	24.5	0.3	0.5	74.7	3546	4237492	49.5
HISSP-FGNON2028	548	15101620	511	179480	19664	27557.7	107	48234	309	16153	40.19	0	10	8	34.9	34.9	0	0.1	65	3546	7652666	76
HISSP-FGMEL2036	875	11129859	500	188288	4673	12719.84	87	36146	349	8054	38.17	0	4	2	20.7	20.6	0.1	0.1	79.2	3546	7878026	89.2
HISSP-FGMARTIN	376	10404305	503	198376	20273	27671.02	75	46268	215	15400	41.36	0	5	3	25.7	25.7	0	0.1	74.2	3546	3350220	48.3
HISSP-FGMAR2044	1435	24065669	500	297559	1202	16770.5	95	72947	346	16799	49.63	0	4	2	54.4	53.7	0.7	0.5	45.1	3546	3007476	18.7
HISSP-FGLIN2055	1490	47899746	500	806560	5103	32147.48	77	193090	389	17896	49.4	0	7	18	83.1	77.4	5.7	0.5	16.4	3546	9737322	25.6
HISSP-FGLEB2048	180	7667243	500	360465	16350	42595.79	21	90432	71	30566	49.18	0	9	5	17.4	17.3	0.1	0.4	82.2	3546	3289853	64.4
HISSP-FGKOU2024	5729	22120596	500	171042	619	3861.16	177	39416	1907	723	42.27	0	11	13	49.4	49.3	0.1	0.2	50.4	3546	5486688	37.2
HISSP-FGJOS2044	967	22245502	517	157247	16566	23004.66	189	39078	553	12896	42.88	0	11	9	63.6	63.5	0.1	0.5	35.9	3546	7563428	51
HISSP-FGGRE2022	833	19987455	501	179281	12786	23994.54	132	50350	410	13288	41.37	0	7	3	51.4	51.2	0.2	0.2	48.4	3546	7468334	56
HISSP-FGFIN2028	475	21138080	502	348362	23356	44501.22	72	97620	221	28367	49.48	0	11	9	54.1	53.7	0.4	0.3	45.6	3546	2817580	20
HISSP-FGFER2036	1199	22918657	502	175627	12565	19114.81	209	33872	656	10786	42.31	0	14	3	62.5	62.5	0	0.3	37.2	3546	6144548	40.2
HISSP-FGFAR0189	552	22815282	501	364879	23359	41332.03	80	83388	273	24354	49.61	0	10	5	58.1	57.7	0.4	0.3	41.6	3546	3829337	25.2
HISSP-FGFAN2059	1096	23710091	508	170064	14292	21633.29	196	38085	611	11133	42.37	0	9	9	65.4	65.3	0.1	0.3	34.3	3546	9821390	62.1
HISSP-FGDOS0487	310	5133113	503	150582	3668	16558.43	33	48079	110	11381	35.45	0	4	3	8	8	0	0	92	3546	2908572	71.4
HISSP-FGDEO2088	532	15609222	511	156497	21170	29340.64	103	50260	299	16875	41.55	0	9	4	42.6	42.5	0.1	0.2	57.2	3546	6213153	59.7
HISSP-FGDEO2015																						
